"Bitcoin Core Version","Num all files","Size all files (B)","Num code files (cpp, cc, py, h, sh, c, java, mk)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram","Code file extenension histogram",
"bitcoin-0.14.0","666","6922115","503","4969122","*","42864","20834","541","0.8123123123123123","11629709","1.680080293378541","*","22787","12935","376","0.7475149105367793","4501239","0.9058419173447543","*",".h (229), .cpp (176), .json (77), .cc (72), .hex (25),  (21), .c (18), .include (7), .md (7), .in (4), .java (4), .rc (3), .am (3), .yml (3), .sage (3), .html (3), .ac (2), .sh (2), .py (2), .txt (2), .raw (1), .s (1), .css (1)",".h (229), .cpp (176), .cc (72), .c (18), .java (4), .sh (2), .py (2)",
"bitcoin-0.14.1","666","6928528","503","4974159","*","1561","82","39","0.05855855855855856","2504898","0.36153393621271357","*","156","45","22","0.0437375745526839","706220","0.14197776950837318","*",".h (229), .cpp (176), .json (77), .cc (72), .hex (25),  (21), .c (18), .include (7), .md (7), .in (4), .java (4), .rc (3), .am (3), .yml (3), .sage (3), .html (3), .ac (2), .sh (2), .py (2), .txt (2), .raw (1), .s (1), .css (1)",".h (229), .cpp (176), .cc (72), .c (18), .java (4), .sh (2), .py (2)",
"bitcoin-0.14.2","666","6932381","503","4977626","*","2734","179","27","0.04054054054054054","2154469","0.3107834090480601","*","130","23","9","0.017892644135188866","367362","0.07380265210765131","*",".h (229), .cpp (176), .json (77), .cc (72), .hex (25),  (21), .c (18), .include (7), .md (7), .in (4), .java (4), .rc (3), .am (3), .yml (3), .sage (3), .html (3), .ac (2), .sh (2), .py (2), .txt (2), .raw (1), .s (1), .css (1)",".h (229), .cpp (176), .cc (72), .c (18), .java (4), .sh (2), .py (2)",
"bitcoin-0.14.3","667","6947642","504","4992857","*","563","70","21","0.031484257871064465","951822","0.1369992869523214","*","540","70","19","0.037698412698412696","896711","0.17959877480969313","*",".h (229), .cpp (177), .json (77), .cc (72), .hex (25),  (21), .c (18), .include (7), .md (7), .in (4), .java (4), .rc (3), .am (3), .yml (3), .sage (3), .html (3), .ac (2), .sh (2), .py (2), .txt (2), .raw (1), .s (1), .css (1)",".h (229), .cpp (177), .cc (72), .c (18), .java (4), .sh (2), .py (2)",
"bitcoin-0.15.0","632","7110565","520","5291823","*","35272","14948","479","0.7579113924050633","9123092","1.2830333454514515","*","19326","11333","341","0.6557692307692308","4814134","0.9097307298448947","*",".h (237), .cpp (186), .cc (74), .json (53),  (21), .c (17), .md (11), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (237), .cpp (186), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.15.0.1","632","7110565","520","5291823","*","1900","123","13","0.020569620253164556","1306302","0.18371282732103567","*","3","3","2","0.0038461538461538464","38348","0.007246652051665371","*",".h (237), .cpp (186), .cc (74), .json (53),  (21), .c (17), .md (11), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (237), .cpp (186), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.15.1","631","7169036","519","5350333","*","2174","748","59","0.09350237717908082","1818265","0.25362754490282935","*","2169","703","54","0.10404624277456648","1765317","0.32994525761293736","*",".h (236), .cpp (186), .cc (74), .json (53),  (21), .c (17), .md (11), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (236), .cpp (186), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.15.2","631","7170316","519","5351613","*","42","27","10","0.01584786053882726","511759","0.07137188932816908","*","42","27","10","0.019267822736030827","511759","0.09562705673971567","*",".h (236), .cpp (186), .cc (74), .json (53),  (21), .c (17), .md (11), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (236), .cpp (186), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.16.0","657","7319962","538","5494849","*","54243","16931","610","0.928462709284627","13443497","1.8365528400284046","*","12462","9068","458","0.8513011152416357","5027057","0.914867178333745","*",".h (242), .cpp (199), .cc (74), .json (60),  (20), .c (17), .md (12), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (242), .cpp (199), .cc (74), .c (17), .java (4), .sh (2)",
"bitcoin-0.16.1","658","7342113","539","5506870","*","10158","5262","90","0.13677811550151975","6935754","0.9446536712251636","*","427","84","36","0.06679035250463822","1213935","0.22044010481453166","*",".h (242), .cpp (200), .cc (74), .json (60),  (20), .c (17), .md (12), .include (7), .java (4), .rc (3), .am (3), .yml (3), .in (3), .sage (3), .ac (2), .sh (2), .raw (1), .s (1), .html (1)",".h (242), .cpp (200), .cc (74), .c (17), .java (4), .sh (2)",
