"Bitcoin Core Version","Num all files","Size all files (B)","Num code files (cpp, py, c, h, sh, c, js, java)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram","Code file extenension histogram",
"bitcoin-0.13.1","1365","17311593","789","7209482","*","21294","2742","246","0.18021978021978022","7827415","0.4521487421752579","*","5039","784","134","0.16983523447401774","2593338","0.3597121124652229","*",".h (276), .cpp (214), .png (125), .md (114), .py (106), .ts (86), .cc (70), .json (65),  (48), .mk (42), .pgp (22), .svg (18), .m4 (17), .c (16), .ui (16), .sh (14), .hex (12), .in (11), .yml (8), .include (8), .txt (6), .bash-completion (5), .xpm (5), .am (4), .conf (4), .rc (4), .ac (3), .install (3), .1 (3), .ico (3), .html (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .pri (1), .css (1), .proto (1), .icns (1), .java (1)",".h (276), .cpp (214), .py (106), .c (16), .sh (14), .java (1)",
"bitcoin-0.13.2","1375","18039442","791","7291309","*","20894","2442","197","0.14327272727272727","5714943","0.31680264833025323","*","3165","645","124","0.15676359039190899","2846341","0.39037448556905213","*",".h (274), .cpp (213), .png (125), .md (116), .py (106), .ts (86), .cc (70), .json (65),  (47), .mk (42), .pgp (22), .m4 (20), .svg (18), .c (18), .ui (16), .sh (14), .hex (12), .in (11), .yml (8), .include (7), .txt (6), .bash-completion (5), .xpm (5), .am (4), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .ico (3), .html (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .manpages (1), .5 (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .pri (1), .css (1), .proto (1), .icns (1), .s (1)",".h (274), .cpp (213), .py (106), .c (18), .sh (14), .java (4)",
"bitcoin-0.14.0","1453","20121295","857","7817838","*","52061","24638","713","0.4907088781830695","13555156","0.6736721468474072","*","27125","13455","495","0.5775962660443408","5656574","0.7235470983154166","*",".h (287), .cpp (232), .png (128), .md (119), .py (112), .ts (86), .json (77), .cc (72),  (46), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .c (18), .sh (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .txt (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .ico (3), .html (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .raw (1), .css (1), .proto (1), .icns (1), .s (1)",".h (287), .cpp (232), .py (112), .c (18), .sh (17), .java (4)",
"bitcoin-0.14.1","1453","20146738","857","7826952","*","1710","906","48","0.03303509979353063","2877042","0.1428043587006492","*","259","64","26","0.030338389731621937","890985","0.11383550071598753","*",".h (287), .cpp (232), .png (128), .md (119), .py (112), .ts (86), .json (77), .cc (72),  (46), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .c (18), .sh (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .txt (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .ico (3), .html (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .raw (1), .css (1), .proto (1), .icns (1), .s (1)",".h (287), .cpp (232), .py (112), .c (18), .sh (17), .java (4)",
"bitcoin-0.14.2","1454","20269075","857","7831813","*","2944","283","41","0.028198074277854195","2466483","0.12168700347697169","*","135","23","10","0.011668611435239206","411977","0.05260301797297765","*",".h (287), .cpp (232), .png (128), .md (120), .py (112), .ts (86), .json (77), .cc (72),  (46), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .c (18), .sh (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .txt (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .ico (3), .html (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .raw (1), .css (1), .proto (1), .icns (1), .s (1)",".h (287), .cpp (232), .py (112), .c (18), .sh (17), .java (4)",
"bitcoin-0.14.3","1455","20289747","858","7847503","*","902","319","42","0.0288659793814433","1196318","0.058961701198147025","*","656","232","27","0.03146853146853147","1026360","0.13078809909343136","*",".h (287), .cpp (233), .png (128), .md (120), .py (112), .ts (86), .json (77), .cc (72),  (46), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .c (18), .sh (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .txt (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .ico (3), .html (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .guess (1), .sub (1), .raw (1), .css (1), .proto (1), .icns (1), .s (1)",".h (287), .cpp (233), .py (112), .c (18), .sh (17), .java (4)",
"bitcoin-0.15.0","1506","21479913","886","8231328","*","45568","19414","670","0.4448871181938911","11591023","0.5396215059157828","*","25711","14301","512","0.5778781038374717","6559860","0.796938234024935","*",".h (297), .cpp (243), .png (129), .md (126), .py (120), .ts (101), .json (77), .cc (74),  (47), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .sh (19), .c (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .txt (3), .ico (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .html (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .cert (1), .guess (1), .sub (1), .raw (1), .proto (1), .icns (1), .s (1)",".h (297), .cpp (243), .py (120), .sh (19), .c (17), .java (4)",
"bitcoin-0.15.0.1","1506","21499179","886","8231257","*","2062","1020","19","0.012616201859229747","1424866","0.06627536800358749","*","3","3","2","0.002257336343115124","39362","0.0047820156751271405","*",".h (297), .cpp (243), .png (129), .md (126), .py (120), .ts (101), .json (77), .cc (74),  (47), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .sh (19), .c (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .txt (3), .ico (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .html (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .cert (1), .guess (1), .sub (1), .raw (1), .proto (1), .icns (1), .s (1)",".h (297), .cpp (243), .py (120), .sh (19), .c (17), .java (4)",
"bitcoin-0.15.1","1511","21657365","889","8315517","*","4841","1817","162","0.10721376571806751","3040622","0.14039667337185294","*","3611","1664","146","0.16422947131608548","2822954","0.33948027524927193","*",".h (296), .cpp (243), .png (129), .md (128), .py (123), .ts (101), .json (78), .cc (74),  (47), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .sh (19), .c (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .txt (3), .ico (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .html (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .cert (1), .guess (1), .sub (1), .raw (1), .proto (1), .icns (1), .s (1)",".h (296), .cpp (243), .py (123), .sh (19), .c (17), .java (4)",
"bitcoin-0.15.2","1511","21650572","889","8317408","*","137","266","21","0.013898080741230973","640308","0.02957464588002571","*","70","44","13","0.014623172103487065","539218","0.06483005282414907","*",".h (296), .cpp (243), .png (129), .md (128), .py (123), .ts (101), .json (78), .cc (74),  (47), .mk (41), .hex (25), .pgp (23), .svg (21), .m4 (20), .sh (19), .c (17), .ui (17), .in (10), .yml (9), .include (7), .am (5), .bash-completion (5), .xpm (5), .conf (4), .1 (4), .rc (4), .java (4), .ac (3), .install (3), .manpages (3), .txt (3), .ico (3), .sage (3), .lintian-overrides (2), .plist (2), .pem (2), .bmp (2), .html (2), .qrc (2), .mm (2), .pro (1), .desktop (1), .protocol (1), .examples (1), .init (1), .openrc (1), .openrcconf (1), .service (1), .cfg (1), .fc (1), .if (1), .spec (1), .te (1), .cert (1), .guess (1), .sub (1), .raw (1), .proto (1), .icns (1), .s (1)",".h (296), .cpp (243), .py (123), .sh (19), .c (17), .java (4)",
